# host=Phytium-Pi
# captured_at=2026-03-18T05:30:50+08:00
top - 05:30:50 up  9:13,  1 user,  load average: 1.34, 0.50, 0.36
任务: 226 total,   1 running, 225 sleeping,   0 stopped,   0 zombie
%Cpu(s):  1.8 us,  5.5 sy,  0.0 ni, 92.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   3461.3 total,    442.2 free,   1419.3 used,   1599.8 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   1772.4 avail Mem 

 进程号 USER      PR  NI    VIRT    RES    SHR    %CPU  %MEM     TIME+ COMMAND
  77940 user      20   0   16444   3312   2692 R   5.9   0.1   0:00.05 top
      1 root      20   0  167688  10084   6976 S   0.0   0.3   0:08.20 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.03 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq
      9 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tasks_kthre
     10 root      20   0       0      0      0 S   0.0   0.0   0:02.47 ksoftirqd/0
     11 root      20   0       0      0      0 I   0.0   0.0   0:02.93 rcu_preempt
     12 root      rt   0       0      0      0 S   0.0   0.0   0:00.37 migration/0
     13 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     14 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     15 root      rt   0       0      0      0 S   0.0   0.0   0:00.38 migration/1
     16 root      20   0       0      0      0 S   0.0   0.0   0:00.85 ksoftirqd/1
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     20 root      rt   0       0      0      0 S   0.0   0.0   0:00.20 migration/2
     21 root      20   0       0      0      0 S   0.0   0.0   0:07.51 ksoftirqd/2
     24 root      20   0       0      0      0 P   0.0   0.0   0:00.00 cpuhp/3
     25 root      rt   0       0      0      0 P   0.0   0.0   0:00.20 migration/3
     26 root      20   0       0      0      0 P   0.0   0.0   0:00.08 ksoftirqd/3
     29 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmpfs
     30 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
     31 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     33 root      20   0       0      0      0 I   0.0   0.0   0:00.12 kworker/3:1-events
     34 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_reaper
     35 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeback
     36 root      20   0       0      0      0 S   0.0   0.0   0:01.83 kcompactd0
     37 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     38 root      39  19       0      0      0 S   0.0   0.0   0:01.72 khugepaged
     49 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cryptd
     75 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegrityd
     76 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
     77 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 blkcg_punt_bio
     78 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 tpm_dev_wq
     79 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
     80 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-poller
     81 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 devfreq_wq
     82 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdogd
     85 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rpciod
     87 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 xprtiod
    115 root      20   0       0      0      0 S   0.0   0.0   0:10.98 kswapd0
    116 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nfsiod
    121 root      20   0       0      0      0 S   0.0   0.0   0:00.00 hwrng
    122 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/15-arm-smmu
    123 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-crtc0
    124 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-wq
    125 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-reset-wq
