# remote_host=100.121.87.73
# vmstat_interval_seconds=1
# started_local=2026-03-18T05:29:24+08:00
# started_remote=2026-03-18T05:29:24+08:00
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 462432 507028 1134644    0    0    30    21  293   14  4  1 94  0  0
 4  0      0 462448 507028 1134644    0    0     0    76 1554 2389 11  3 86  0  0
 5  0      0 476876 507028 1107752    0    0  2272    40 3094 4538 27  7 63  3  0
 1  0      0 438320 507028 1109556    0    0  1780     0 1464 1900 29  3 65  3  0
 1  0      0 408868 507028 1109596    0    0     0     8 1168 1485 32  4 65  0  0
 2  0      0 390784 507028 1109596    0    0     0     0 1254 1644 33  3 65  0  0
 3  0      0 380072 507032 1109640    0    0     0   188 1618 2305 44  5 52  0  0
 1  0      0 362400 507032 1109612    0    0     0     0 1112 1308 34  3 63  0  0
 2  0      0 299120 507016 1110888    0    0   500     0 1566 1987 31  9 60  1  0
 0  1      0 287520 507016 1110768    0    0   736     8 2088 2913 31  3 64  2  0
 2  0      0 264036 507016 1111216    0    0   192     0 1452 1462 53 19 28  0  0
 3  0      0 260816 507016 1111688    0    0     0    80 1645 2099 61  4 36  0  0
 2  0      0 251436 507016 1112000    0    0     0     0 1414 1510 59  3 38  0  0
 2  0      0 251436 507016 1112376    0    0     0     0 1831 2000 54  3 42  0  0
 5  0      0 256644 507016 1114876    0    0     0     0 1350 1421 55  3 43  0  0
 2  0      0 257700 507016 1113164    0    0     0     0 1997 2433 56  2 42  0  0
 6  0      0 253000 507024 1113556    0    0     0    72 1568 1956 62  3 35  0  0
 5  0      0 245928 507024 1115968    0    0     0     0 1543 1744 67  2 31  0  0
 2  0      0 246296 507024 1114292    0    0     0     0 1525 1727 56  2 42  0  0
 2  0      0 246984 507024 1114716    0    0     0     0 1417 1451 55  2 43  0  0
 3  0      0 254064 507024 1115084    0    0     0     0 1372 1489 57  2 42  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 254156 507028 1115508    0    0     0    72 1731 2029 62  3 35  0  0
 1  0      0 246404 507028 1115932    0    0     0     0 1401 1428 58  2 40  0  0
 1  0      0 244856 507028 1116320    0    0     0     0 1392 1492 54  1 46  0  0
 2  0      0 250876 507028 1116724    0    0     0     4 1600 1782 53  2 45  0  0
 1  0      0 250636 507028 1117116    0    0     0     0 1359 1387 53  2 45  0  0
 2  0      0 247396 507032 1117512    0    0     0    68 1507 1874 62  3 34  0  0
 1  0      0 239836 507032 1117880    0    0     0     0 1543 1672 61  2 37  0  0
 1  0      0 240192 507032 1118296    0    0     0     0 1635 1897 56  3 42  0  0
 1  0      0 239304 507032 1118632    0    0     0   164 1887 2115 57  2 41  0  0
 1  0      0 245924 507032 1119016    0    0     0     0 1377 1484 56  2 43  0  0
 5  0      0 242648 507032 1119448    0    0     0    80 1484 1879 62  3 35  0  0
 1  0      0 239564 507032 1119852    0    0     0     0 1334 1488 58  2 40  0  0
 1  0      0 239460 507032 1120176    0    0     0     0 1432 1646 53  2 45  0  0
 3  0      0 245556 507032 1120616    0    0     0    40 1495 1641 53  2 46  0  0
 4  0      0 244800 507032 1121052    0    0     0     0 1435 1575 56  1 43  0  0
 3  0      0 241776 507036 1121328    0    0     0    96 1441 1799 62  3 34  0  0
 1  0      0 234164 507036 1121760    0    0     0     0 1386 1390 66  2 32  0  0
 1  0      0 233628 507036 1122136    0    0     0     0 1322 1380 54  2 44  0  0
 1  0      0 233352 507036 1122516    0    0     0    16 1696 1964 54  2 44  0  0
 1  0      0 239580 507036 1122896    0    0     0     0 1315 1418 53  2 45  0  0
 2  0      0 238768 507040 1123392    0    0     0    88 2246 2972 64  2 33  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 231484 507040 1123720    0    0     0     0 1394 1675 55  2 43  0  0
 1  0      0 231988 507040 1124112    0    0     0     0 1476 1596 54  1 44  0  0
 1  0      0 237532 507040 1124468    0    0     0     0 1526 1732 53  2 45  0  0
 1  0      0 236192 507040 1124888    0    0     0  1856 1480 1675 56  2 42  0  0
 4  0      0 234608 507040 1125308    0    0     0    84 1539 2012 64  2 34  0  0
 2  0      0 221872 507040 1125664    0    0     0     0 1279 1278 57  3 40  0  0
 2  0      0 222776 507040 1126012    0    0     0     0 1632 1884 57  2 41  0  0
 2  0      0 221484 507040 1126452    0    0     0     0 1760 2067 55  2 43  0  0
 2  0      0 225984 507040 1126888    0    0     0  1928 1411 1553 54  2 44  0  0
 3  0      0 225768 507044 1127312    0    0     0   104 1734 2200 61  3 36  0  0
 2  0      0 220452 507044 1127620    0    0     0     0 1533 1793 56  2 42  0  0
 2  0      0 220520 507044 1128012    0    0     0     0 1533 1744 53  2 44  0  0
 2  0      0 227780 507044 1128432    0    0     0     0 1616 1864 53  2 45  0  0
 2  0      0 227576 507044 1128808    0    0     0  2040 1489 1628 55  1 44  0  0
 4  0      0 225232 507048 1129208    0    0     0    88 1511 1889 63  3 33  0  0
 3  0      0 220112 506104 1126208    0    0     0     0 1473 1709 64  4 32  0  0
 3  0      0 220364 506104 1126560    0    0     0     0 1540 1781 56  2 42  0  0
 2  0      0 220364 506104 1126968    0    0     0     0 1749 1993 57  2 42  0  0
 2  0      0 227084 506104 1127324    0    0     0  1896 1330 1409 53  1 45  0  0
 3  0      0 226896 506108 1127788    0    0     0   100 1695 2083 61  3 36  0  0
 2  0      0 220764 506108 1128096    0    0     0     0 1423 1637 56  3 41  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 220700 506108 1128532    0    0     0     0 1410 1504 54  1 46  0  0
 2  0      0 226332 506108 1128912    0    0     0     0 1867 2207 54  2 45  0  0
 3  0      0 224788 506108 1129332    0    0     0  2148 1789 2303 54  2 42  2  0
 3  0      0 223776 506112 1129732    0    0     0   108 1614 2025 63  3 34  0  0
 2  0      0 217480 506112 1130124    0    0     0     0 1464 1580 58  2 40  0  0
 2  0      0 218668 505092 1126844    0    0     0     0 1526 1824 55  3 41  0  0
 2  0      0 219460 505092 1127148    0    0     0     0 1634 1873 56  1 43  0  0
 2  0      0 228808 505072 1127480    0    0     0  1924 1404 1480 55  1 44  0  0
 3  0      0 226964 505072 1127848    0    0     0   120 1626 1999 61  3 36  0  0
 1  0      0 219560 505072 1128376    0    0     0     0 1702 2003 59  3 39  0  0
 2  0      0 220132 505072 1128712    0    0     0     0 1383 1390 55  2 43  0  0
 2  0      0 226340 505072 1129016    0    0     0     0 1515 1621 55  2 43  0  0
 1  0      0 226308 505072 1129504    0    0     0  2048 1452 1520 54  2 44  0  0
 3  0      0 224040 505076 1129840    0    0     0   100 1584 2041 62  3 35  0  0
 2  0      0 218088 505076 1130204    0    0     0     0 1372 1561 63  2 35  0  0
 2  0      0 219204 505076 1130604    0    0     0     0 1429 1633 53  2 45  0  0
 2  0      0 219612 505076 1130992    0    0     0     0 1690 1973 52  2 46  0  0
 1  0      0 227500 505060 1131380    0    0     0  2072 1284 1313 53  3 44  0  0
 3  0      0 228084 505060 1131780    0    0     0   268 1587 1949 61  4 36  0  0
 1  0      0 220524 505060 1132224    0    0     0     0 1386 1483 54  2 44  0  0
 1  0      0 219696 505060 1132608    0    0     0     0 1442 1518 54  2 44  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 328364 505060 1132952    0    0     0     0 1690 1889 47  5 48  0  0
 1  0      0 330380 505060 1132964    0    0     0  1964 1543 2045 35  2 63  0  0
# stopped_local=2026-03-18T05:30:49+08:00
 4  0      0 454080 505068 1132932    0    0    24   124 2197 3324 15  6 79  0  0
 0  0      0 453812 505068 1133104    0    0   156     0 1561 2366  1  3 96  0  0
 0  0      0 454236 505068 1133120    0    0     0     0 1116 1746  2  1 97  0  0
 0  0      0 454188 505068 1133152    0    0     0     0 1239 1931  1  1 97  0  0
 0  0      0 460820 505068 1133124    0    0     0     0 1235 1941  1  1 98  0  0
 0  0      0 454248 505068 1133188    0    0     0  2028 1353 2096 11  2 87  0  0
 0  0      0 453544 505072 1133124    0    0     0    76  892 1433  1  0 98  0  0
 0  0      0 453244 505072 1133124    0    0     0     0  936 1481  0  1 99  0  0
 0  0      0 459120 505072 1133124    0    0     0     0 1153 1789  1  0 99  0  0
 0  0      0 460332 505072 1133156    0    0     0     0  923 1465  1  1 98  0  0
 4  0      0 451528 505072 1133124    0    0     0  1952 1278 1888 17  3 81  0  0
 0  0      0 454804 505072 1133124    0    0     0     0 1031 1612  3  1 96  0  0
 0  0      0 454552 505072 1133156    0    0     0    64  894 1432  1  0 98  0  0
 0  0      0 455020 505072 1133124    0    0     0     0  974 1519  1  0 99  0  0
 0  0      0 461640 505072 1133124    0    0     0     0  925 1528  1  0 99  0  0
 0  0      0 455528 505072 1133040    0    0     0  2228 1509 2352  8  3 89  1  0
 0  0      0 455560 505072 1133124    0    0     0     0  859 1374  1  1 99  0  0
 0  0      0 455260 505072 1133124    0    0     0     0  924 1474  1  1 99  0  0
 0  0      0 462144 505076 1133120    0    0     0    64  952 1487  2  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 462696 505076 1133124    0    0     0     0  739 1136  1  1 99  0  0
 0  0      0 454552 505076 1133100    0    0     0  2032 1248 1988 10  1 89  0  0
 0  0      0 453796 505084 1133788    0    0   664     0 1425 2186  3  3 94  0  0
 0  0      0 453544 505084 1133788    0    0     0     0  864 1417  1  1 99  0  0
 0  0      0 454048 505084 1133788    0    0     0     0 1185 1826  1  0 99  0  0
 0  0      0 458556 505084 1133788    0    0     0    80 1403 2238  3  2 95  0  0
 4  0      0 460536 505084 1133788    0    0     0  1952 1345 2013 18  2 80  0  0
 0  0      0 461528 505084 1133788    0    0     0     0  903 1386  2  1 97  0  0
 0  0      0 463120 505084 1133756    0    0     0     0 1379 2163  2  1 97  0  0
 0  0      0 470160 505084 1133788    0    0     0     0 1150 1866  1  0 99  0  0
 0  0      0 470460 505084 1133788    0    0     0     0  870 1377  1  0 99  0  0
 0  0      0 462364 505088 1133880    0    0     0  1464 1480 2256  8  1 91  0  0
 0  0      0 462328 505088 1133872    0    0    96     0 1021 1592  1  1 98  0  0
 0  0      0 462316 505088 1133880    0    0     0     0  807 1315  1  0 99  0  0
 0  0      0 462568 505088 1133880    0    0     0     0 1202 1898  1  1 98  0  0
 0  0      0 469500 505088 1133880    0    0     0     0  833 1348  1  1 99  0  0
 0  0      0 461860 505096 1133880    0    0     0    84 1277 1965 10  3 87  0  0
 0  0      0 463120 505096 1133848    0    0     0     0  999 1605  1  1 98  0  0
 0  0      0 463072 505096 1133880    0    0     0     0  719 1067  0  1 99  0  0
 0  0      0 469164 505096 1133880    0    0     0     0  938 1491  1  1 99  0  0
 0  0      0 469452 505096 1133880    0    0     0     0  770 1135  2  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 463372 505100 1133940    0    0     0    60 1430 2195 12  3 86  0  0
 0  0      0 463624 505100 1133880    0    0     0     0  913 1443  1  0 99  0  0
 0  0      0 464128 505100 1133880    0    0     0     0  896 1428  1  1 98  0  0
 0  0      0 464380 505100 1133880    0    0     0     0 1050 1611  1  1 99  0  0
 0  0      0 470468 505100 1133884    0    0     0     0 1111 1693  2  2 96  0  0
 4  0      0 457008 505104 1133884    0    0     0    56 1335 2038 17  1 81  0  0
 0  0      0 459844 505104 1133884    0    0     0     0  947 1490  3  1 96  0  0
 0  0      0 460096 505104 1133884    0    0     0     0  817 1297  1  1 98  0  0
 0  0      0 466932 505104 1133884    0    0     0     0 3475 5363  0  2 98  0  0
 0  0      0 466932 505104 1133884    0    0     0     0 2164 3474  1  2 97  0  0
 1  0      0 462112 505108 1133916    0    0     0    60 1238 1941  7  2 91  0  0
 0  0      0 461656 505108 1133884    0    0     0    60 1112 1671  1  1 98  0  0
 0  0      0 461356 505108 1133884    0    0     0     0  945 1553  1  0 99  0  0
 0  0      0 461608 505108 1133884    0    0     0     0 1058 1747  0  1 99  0  0
 0  0      0 467388 505108 1133916    0    0     0     0  881 1394  1  0 99  0  0
 0  0      0 455256 505112 1133880    0    0     0    48 1422 2244 10  2 87  0  0
 0  0      0 454600 505112 1133884    0    0     0     8  752 1208  0  0 99  0  0
 0  0      0 454552 505112 1133916    0    0     0     0  812 1295  1  1 98  0  0
 0  0      0 461184 505112 1133884    0    0     0     0 1157 1851  1  1 98  0  0
 0  0      0 461184 505112 1133884    0    0     0     0  873 1380  0  0 99  0  0
 1  0      0 461860 505112 1133872    0    0     0    60 1415 2207 19  2 79  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 464176 505112 1133884    0    0     0     0  850 1336  3  0 97  0  0
 0  0      0 464932 505112 1133884    0    0     0     0  959 1559  1  1 99  0  0
 0  0      0 466396 505112 1133888    0    0     0     0 1021 1569  1  0 98  0  0
 0  0      0 473280 505112 1133888    0    0     0     0  984 1574  0  1 99  0  0
 0  0      0 471108 505116 1133940    0    0     0    48 1567 2258 11  3 87  0  0
 0  0      0 468592 505116 1133888    0    0     0     0  912 1472  1  1 98  0  0
 0  0      0 467504 505116 1133888    0    0     0     0 1209 1823  3  1 97  0  0
 0  0      0 473300 505116 1133888    0    0     0     0  973 1593  1  0 99  0  0
 0  0      0 473396 505116 1133888    0    0     0     0 1134 1759  1  1 98  0  0
 0  0      0 464308 505116 1133852    0    0     0    56 1767 2598 14  2 84  0  0
 0  0      0 465316 505116 1133888    0    0     0     0  998 1596  1  0 99  0  0
 0  0      0 466324 505116 1133856    0    0     0     0 1006 1613  1  1 98  0  0
 0  0      0 466576 505116 1133888    0    0     0     0 1080 1716  0  0 99  0  0
 0  0      0 473412 505116 1133888    0    0     0     0 1008 1592  2  0 98  0  0
 0  0      0 465820 505124 1133888    0    0     0    52 1576 2416 10  2 87  0  0
 0  0      0 465820 505124 1133888    0    0     0     8  868 1416  1  0 99  0  0
 0  0      0 466072 505124 1133888    0    0     0     0  831 1317  0  1 99  0  0
 0  0      0 475632 505124 1133920    0    0     0     0  909 1473  1  1 98  0  0
 0  0      0 475932 505124 1133888    0    0     0     0 1167 1831  0  1 99  0  0
 0  0      0 463804 505124 1133888    0    0     0    44 1242 1875 18  2 80  0  0
 0  0      0 464560 505124 1133888    0    0     0     4 1008 1597  2  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 465268 505124 1133888    0    0     0     0  734 1158  1  1 99  0  0
 0  0      0 465568 505124 1133888    0    0     0     0  859 1403  1  0 99  0  0
 0  0      0 472404 505124 1133888    0    0     0     0  872 1383  1  0 99  0  0
 0  0      0 464812 505124 1133872    0    0     0    52 1601 2491 11  3 86  0  0
 0  0      0 464512 505124 1133888    0    0     0   228  865 1325  0  1 98  0  0
 0  0      0 462984 505124 1133856    0    0     0     0 1161 1802  3  1 96  0  0
 0  0      0 470276 505124 1133888    0    0     0     0  946 1520  1  1 98  0  0
 0  0      0 470072 505124 1133892    0    0     0     0  833 1289  0  1 99  0  0
 0  0      0 455488 505124 1133892    0    0     0    72 1627 2499 12  3 86  0  0
 0  0      0 455236 505124 1133892    0    0     0     0  898 1482  1  1 98  0  0
 0  0      0 455488 505124 1133892    0    0     0     0  827 1354  0  0 99  0  0
