# remote_host=100.121.87.73
# vmstat_interval_seconds=1
# started_local=2026-03-12T15:22:50+08:00
# started_remote=2026-03-12T15:22:50+08:00
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 13094212   7180 704044    0    0   377   130  968    1  1  0 99  0  0  0
 3  0      0 13093684   7180 704028    0    0     0     8 2419 3878  1  1 98  0  0  0
 1  1      0 13093940   7188 704032    0    0     0   104  703 1028  1  0 98  1  0  0
 0  0      0 13094192   7188 704028    0    0     0     0 1282 2803  0  1 99  0  0  0
 1  0      0 13093688   7188 704044    0    0     0     0  624 1022  0  0 99  0  0  0
# stopped_local=2026-03-12T15:22:54+08:00
 0  0      0 13092692   7316 704120    0    0   128     0 3265 6028  1  1 98  0  0  0
 0  0      0 13096008   7316 704104    0    0     0     4  999 1357  1  0 99  0  0  0
 0  0      0 13096520   7324 704100    0    0     0   112 1541 2783  1  1 98  0  0  0
 0  0      0 13096764   7324 704100    0    0     0     0  423  816  0  0 99  0  0  0
 2  0      0 13096008   7324 704128    0    0     0     0 1917 3292  1  1 99  0  0  0
 0  0      0 13096008   7324 704128    0    0     0    60  864 1310  1  0 99  0  0  0
 1  0      0 13095000   7324 704144    0    0     0    60 1887 3094  1  1 99  0  0  0
 0  0      0 13095012   7332 704160    0    0     0    84  759 1128  1  0 99  0  0  0
 0  0      0 13095012   7332 704164    0    0     0     0  554  877  0  0 99  0  0  0
 0  0      0 13092244   7332 704268    0    0    28     0 3289 4993  1  1 97  0  0  0
 0  0      0 13092244   7332 704268    0    0     0     0  931 1239  1  0 99  0  0  0
 0  0      0 13090996   7332 704308    0    0     0   428 2142 3426  1  1 98  0  0  0
 0  0      0 13090996   7340 704316    0    0     0    80  545  885  0  0 99  0  0  0
 0  0      0 13090744   7340 704316    0    0     0     0 1640 2884  0  1 99  0  0  0
 1  0      0 13090240   7340 704316    0    0     0     0  714 1161  1  0 99  0  0  0
 0  0      0 13089736   7340 704336    0    0     0     0 2117 3278  1  1 98  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 13086608   7340 704340    0    0     0     0 1181 1636  1  1 99  0  0  0
 0  0      0 13085376   7348 704332    0    0     0    48 1818 2858  0  1 98  1  0  0
 0  0      0 13085124   7348 704340    0    0     0     0  539  863  1  0 99  0  0  0
 1  0      0 13084872   7348 704348    0    0     0     0 1468 3001  0  1 99  0  0  0
 0  0      0 13084620   7352 704356    0    0     8     0  984 1482  1  0 99  0  0  0
 0  0      0 13085132   7352 704356    0    0     0     0 2116 3377  1  1 98  0  0  0
 0  0      0 13084872   7360 704344    0    0     0    44  691 1100  1  0 98  1  0  0
 0  0      0 13084368   7360 704356    0    0     0     0 1429 2772  0  1 99  0  0  0
 1  0      0 13084372   7360 704356    0    0     0     0  842 1355  1  0 99  0  0  0
 0  0      0 13084624   7360 704352    0    0     0     0 2199 3451  1  1 98  0  0  0
 1  0      0 13084652   7360 704340    0    0     0     0 1211 1704  1  0 99  0  0  0
 0  0      0 13088880   7368 704328    0    0     0   112 1602 2985  1  1 99  0  0  0
 1  0      0 13053956   7368 704360    0    0     0    16 1043 1662  2  1 97  0  0  0
 7  0      0 13007312   7368 704668    0    0   292    16 2773 4719  4  2 94  1  0  0
 0  0      0 13059740   7368 704708    0    0     0     0 1095 1303  2  1 97  0  0  0
 0  0      0 13058484   7368 704704    0    0     0     4 1763 2965  0  1 99  0  0  0
 0  0      0 13059000   7376 704696    0    0     0   120  709  821  0  0 98  1  0  0
 0  0      0 13058500   7376 704744    0    0     0     0 1270 2385  0  1 99  0  0  0
 1  0      0 13058500   7376 704744    0    0     0    56  348  504  0  0 100  0  0  0
 0  0      0 13058248   7376 704744    0    0     0     0 1306 2564  0  1 99  0  0  0
 0  0      0 13057996   7376 704748    0    0     0     0  363  479  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 13053460   7384 704820    0    0     0    96 1416 2105  0  1 97  1  0  0
 0  0      0 13053460   7384 704824    0    0     0     0 1277 2245  0  0 99  0  0  0
 0  0      0 13053460   7384 704824    0    0     0     0  386  575  0  0 100  0  0  0
 0  0      0 13052704   7384 704852    0    0     0     0 1503 2585  0  1 99  0  0  0
 0  0      0 13052956   7384 704856    0    0     0     0  349  502  0  0 100  0  0  0
 0  0      0 13053208   7392 704848    0    0     0   348 1543 2529  0  1 98  2  0  0
 0  0      0 13053208   7392 704852    0    0     0     0  397  603  0  0 100  0  0  0
 1  0      0 13052704   7392 704832    0    0     0     0 1648 2714  0  1 99  0  0  0
 0  0      0 13053472   7392 704836    0    0     0     0  364  500  0  0 100  0  0  0
 0  0      0 13054456   7392 704836    0    0     0     0 1539 2558  0  1 99  0  0  0
 0  0      0 13017028   7400 704840    0    0     0   232  877 1430  2  1 96  1  0  0
 0  0      0 13017540   7400 704840    0    0     0     0 2267 3509  1  1 99  0  0  0
 0  0      0 13018036   7400 704840    0    0     0    64  757 1014  0  0 100  0  0  0
 0  0      0 13016272   7400 704856    0    0     0     0 1799 2944  1  1 98  0  0  0
 0  0      0 13016272   7400 704856    0    0     0     0  487  654  0  0 100  0  0  0
 0  1      0 13016020   7408 704856    0    0     0    52 1363 2452  0  1 97  2  0  0
 0  0      0 13014524   7408 705044    0    0   128     0 2023 2559  0  1 98  0  0  0
 0  0      0 13013264   7408 705060    0    0     0     0 1895 2965  0  1 99  0  0  0
 0  0      0 13014020   7408 705096    0    0     0     0  456  657  0  0 100  0  0  0
 0  0      0 13013516   7408 705096    0    0     0     0 1334 2513  0  1 99  0  0  0
 0  0      0 13013516   7416 705088    0    0     0    48  290  444  0  0 99  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 13014272   7416 705108    0    0     0     0 1363 2487  0  0 99  0  0  0
 1  0      0 13014272   7416 705108    0    0     0     0  447  539  0  0 100  0  0  0
 0  0      0 13012520   7416 705168    0    0     0     0 2069 3145  1  1 99  0  0  0
 0  0      0 13012296   7416 705168    0    0     0     0  429  494  0  0 100  0  0  0
 0  0      0 13012800   7424 705172    0    0     0    52 1510 2404  0  1 99  1  0  0
 0  0      0 13012800   7424 705172    0    0     0     0  395  555  0  0 100  0  0  0
 0  0      0 13012572   7424 705196    0    0     0     0 1542 2591  0  1 99  0  0  0
 0  0      0 13012800   7424 705200    0    0     0     0  350  527  0  0 100  0  0  0
 1  0      0 13012296   7424 705200    0    0     0     0  733 1210  0  0 99  0  0  0
 0  0      0 13012296   7432 705200    0    0     0    48 1029 1669  0  0 98  1  0  0
 0  0      0 13009068   7456 705244    0    0   136   348 1882 2658  0  1 99  0  0  0
 0  0      0 13009776   7456 705456    0    0     0     0 1433 2499  0  1 99  0  0  0
 0  0      0 13009776   7464 705448    0    0    28    64  497  721  0  0 100  0  0  0
 0  0      0 13009792   7464 705484    0    0     0     4 1327 2740  0  1 99  0  0  0
 0  0      0 13010028   7464 705464    0    0     0     0  506  564  0  0 100  0  0  0
 3  0      0 13009016   7464 705468    0    0     0   136 1474 2660  0  1 99  0  0  0
 0  0      0 13008792   7464 705500    0    0     0     0  415  482  0  0 100  0  0  0
 0  0      0 13008036   7472 705492    0    0     0   116 1600 2590  0  1 99  0  0  0
 0  0      0 13014924   7480 705488    0    0     0    36  765 1048  0  0 99  1  0  0
 0  0      0 13012908   7480 705492    0    0     0     0 1519 2526  0  1 99  0  0  0
 0  0      0 13012908   7480 705500    0    0     0   124  409  592  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 13040292   7480 705532    0    0     0    12 2056 3489  5  2 94  0  0  0
 0  0      0 13041412   7480 705544    0    0     0     0  912  934  0  1 99  0  0  0
 0  0      0 13040404   7488 705536    0    0     0   148 1018 2143  0  1 99  0  0  0
 0  0      0 13040404   7488 705544    0    0     0     0  191  289  0  0 100  0  0  0
 0  0      0 13039900   7488 705540    0    0     0   108 1124 2156  0  1 99  0  0  0
 0  0      0 13040152   7488 705540    0    0     0     0  207  320  0  0 100  0  0  0
 0  0      0 13039144   7488 705540    0    0     0     0 1133 2187  0  1 99  0  0  0
 0  0      0 13039396   7496 705532    0    0     0    48  243  348  0  0 99  1  0  0
 0  0      0 13038640   7496 705508    0    0     0     0 1072 2157  0  0 99  0  0  0
 0  0      0 13038640   7496 705508    0    0     0     0  179  284  0  0 100  0  0  0
