# remote_host=100.121.87.73
# vmstat_interval_seconds=1
# started_local=2026-03-12T15:21:26+08:00
Warning: Permanently added '100.121.87.73' (ED25519) to the list of known hosts.
printf：用法： printf [-v var] 格式 [参数]
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 410508 675024 1267640    0    0    11     8   82   78  1  1 98  0  0
 0  0      0 409992 675024 1267744    0    0     0     0 2255 3596  9  3 88  0  0
 0  0      0 410508 675024 1267748    0    0     0     0 1071 1535  1  1 99  0  0
 0  0      0 410508 675024 1267748    0    0     0     0  713 1145  1  1 98  0  0
 0  0      0 410504 675028 1267744    0    0     0    80 1336 1894  1  1 99  0  0
# stopped_local=2026-03-12T15:21:33+08:00
 0  0      0 411296 675028 1267740    0    0     0     0 2418 3984  9  2 89  0  0
 0  0      0 410524 675028 1267740    0    0     0     0 2417 3847 11  4 86  0  0
 0  0      0 411264 675028 1267740    0    0     0     0 3322 5359  7  4 89  0  0
 4  0      0 411012 675028 1267744    0    0     0    72 1469 2303  3  2 96  0  0
 1  0      0 411612 675028 1267720    0    0     0     0 3872 6295 16  5 79  0  0
 1  0      0 411296 675028 1267712    0    0     0     0 1721 2615  2  1 98  0  0
 0  0      0 410152 675036 1267704    0    0     0    36 2274 3677  9  4 88  0  0
 0  0      0 410800 675036 1267720    0    0     0     0 1939 2863  2  2 96  0  0
 0  0      0 412820 675036 1267720    0    0     0     0 2223 3784  7  3 90  0  0
 0  0      0 412616 675036 1267720    0    0     0   128 1389 2145  1  0 99  0  0
 0  0      0 412492 675036 1267716    0    0     0     0  824 1290  1  1 98  0  0
 0  0      0 412620 675036 1267716    0    0     0     0  808 1312  0  0 100  0  0
 0  0      0 412616 675040 1267712    0    0     0    56 1066 1708  0  1 99  0  0
 0  0      0 413612 675040 1267716    0    0     0     0 1060 1657  1  0 98  0  0
 0  0      0 413376 675040 1267716    0    0     0     0  865 1416  0  0 100  0  0
 0  0      0 413628 675040 1267716    0    0     0     0 1286 1929  0  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 413384 675040 1267716    0    0     0     0  847 1344  1  1 99  0  0
 0  0      0 413624 675040 1267716    0    0     0     0  875 1361  0  0 100  0  0
 0  0      0 413376 675040 1267716    0    0     0     0  803 1276  0  1 99  0  0
 1  0      0 413628 675044 1267712    0    0     0    20 1165 1831  1  1 98  0  0
 0  0      0 413624 675044 1267716    0    0     0     0 1070 1671  0  0 100  0  0
 0  0      0 413628 675044 1267716    0    0     0     0  847 1293  0  0 100  0  0
 0  0      0 413376 675044 1267716    0    0     0     0  935 1486  1  0 99  0  0
 1  0      0 413376 675044 1267716    0    0     0     0  879 1348  1  0 98  0  0
 0  0      0 413124 675044 1267716    0    0     0     0  825 1297  0  1 99  0  0
 0  0      0 413132 675044 1267716    0    0     0     0 1416 2187  1  1 98  0  0
 0  0      0 412872 675044 1267716    0    0     0     0  761 1227  0  0 100  0  0
 0  0      0 412872 675044 1267716    0    0     0     0  831 1357  0  0 99  0  0
 0  0      0 412612 675044 1267716    0    0     0     0 1014 1598  1  1 98  0  0
 0  0      0 412872 675048 1267716    0    0     0    96  994 1528  0  0 99  0  0
 0  0      0 412872 675048 1267716    0    0     0     0 1121 1741  0  1 99  0  0
 0  0      0 413124 675048 1267716    0    0     0     0  856 1314  1  0 99  0  0
 2  0      0 413124 675048 1267716    0    0     0     0  864 1355  1  0 99  0  0
 0  0      0 413376 675048 1267716    0    0     0     0  823 1259  2  0 98  0  0
 1  0      0 413376 675048 1267716    0    0     0    20 1250 1872  1  1 98  0  0
 0  0      0 413624 675048 1267716    0    0     0     0 1648 2419  0  1 99  0  0
 0  0      0 413628 675048 1267716    0    0     0     0  809 1243  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 413628 675048 1267716    0    0     0     0 1027 1665  1  0 99  0  0
 0  0      0 413628 675048 1267716    0    0     0     0 1166 1782  0  1 99  0  0
 0  0      0 412336 675052 1267712    0    0     0   232 1478 2205  1  1 98  0  0
 1  0      0 410284 675052 1267728    0    0     0     0 2412 3807 10  3 87  0  0
 0  0      0 410792 675052 1267724    0    0     0     0 1377 2036  0  2 98  0  0
 0  0      0 412304 675052 1267724    0    0     0     0 2536 4221  8  3 89  0  0
 0  0      0 411792 675052 1267716    0    0     0     0 1024 1629  2  0 98  0  0
 0  0      0 410788 675052 1267724    0    0     0     0 2207 3577  9  3 87  0  0
 0  0      0 412620 675052 1267716    0    0     0    28 2434 3939  5  2 93  0  0
 0  0      0 412300 675052 1267716    0    0     0     0 1129 1718  2  1 98  0  0
 0  0      0 412052 675052 1267716    0    0     0     0 1043 1667  1  0 99  0  0
 0  0      0 411792 675052 1267716    0    0     0     0 1106 1737  0  1 99  0  0
 0  0      0 403920 675052 1267724    0    0     0     0 2704 4146 26  6 68  0  0
 0  0      0 403420 675052 1267724    0    0     0   204 1712 2495  1  1 98  0  0
 0  0      0 404408 675052 1267724    0    0     0     0 2310 3870  7  3 90  0  0
 0  0      0 404428 675052 1267716    0    0     0     0 1266 1934  2  1 98  0  0
 0  0      0 409776 675052 1267716    0    0     0     0 2004 3225  9  3 88  0  0
 0  0      0 409784 675060 1267724    0    0     0    68 2135 3238  1  2 97  0  0
 0  0      0 410880 675060 1267720    0    0     0     0 2743 4429  9  3 88  0  0
 0  0      0 410476 675060 1267716    0    0     0     0 1275 1978  1  1 98  0  0
 0  0      0 411232 675060 1267716    0    0     0     0 2067 3186  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 406192 675060 1267724    0    0     0     0 3136 5205 15  7 79  0  0
 0  0      0 407956 675060 1267736    0    0     0     0 2023 3225  4  2 94  0  0
 1  0      0 388552 675368 1281096    0    0 13872    40 2773 3894  7  4 78 12  0
 0  1      0 364580 675508 1293452    0    0 12248     0 2652 3756 17  3 70 10  0
 1  0      0 323724 675508 1298228    0    0  4868     0 1352 1706 20  1 75  5  0
 1  0      0 285924 675508 1300296    0    0  2060     0 1818 2372 21  2 74  2  0
 2  0      0 265260 675508 1301576    0    0  1196     0 1614 2064 23  3 73  1  0
 1  0      0 257196 675508 1301576    0    0     0     0 1693 2188 23  3 74  0  0
 1  0      0 243336 675512 1301616    0    0    40   884 1252 1559 25  1 73  1  0
 1  1      0 225944 675888 1313928    0    0 12792     0 2473 3334 11  2 75 11  0
 1  0      0 204024 676248 1331660    0    0 18024     0 2732 3843  5  2 80 13  0
 1  0      0 191424 676724 1334384    0    0  3264   128 3451 4746 20  3 73  4  0
 1  0      0 178320 676860 1341508    0    0  7264     0 2630 3615 15  3 74  8  0
 4  0      0 144472 676880 1347600    0    0  5932   192 2510 2991 51 23 22  5  0
 4  0      0 142976 676884 1348288    0    0   160  1380 2349 2683 74 15 10  1  0
 4  0      0 142472 676888 1348716    0    0   132   436 2560 2809 74 12 14  0  0
 4  0      0 142016 676888 1349184    0    0   124   488 2230 2682 73 14 12  0  0
 4  0      0 148860 676728 1348444    0    0   136   460 2893 3135 72 15 13  0  0
 3  0      0 147616 676728 1348804    0    0    92   460 2312 2485 75 12 13  0  0
 5  0      0 147348 676732 1349272    0    0    92   732 2378 2898 77 14  9  0  0
 3  0      0 145332 676732 1349820    0    0   148   540 2197 2382 76 13 12  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 144228 676732 1350208    0    0   108   440 2375 2586 73 14 13  0  0
 3  0      0 143332 676732 1350756    0    0   108   508 2536 3068 72 13 15  0  0
 4  0      0 142560 676732 1351156    0    0   108   376 2345 2531 74 14 12  0  0
 5  0      0 142072 676740 1351616    0    0   108   724 2945 3621 75 14 11  0  0
 4  0      0 141584 676740 1351936    0    0    36   380 3792 4640 73 14 13  0  0
 3  0      0 141048 676740 1352400    0    0    56   524 4835 5436 76 13 12  0  0
 3  0      0 140796 676740 1352768    0    0    36   424 4554 5069 74 14 11  0  0
 3  0      0 139788 676740 1353356    0    0   108   540 4222 5434 74 13 12  0  0
 3  0      0 139584 676744 1353844    0    0    64  2624 4722 5257 74 16  9  1  0
 3  0      0 138512 676744 1354348    0    0    72   496 4079 4698 74 14 13  0  0
 6  0      0 137488 676744 1354904    0    0   196   396 3082 4091 76 14 10  0  0
 7  0      0 137236 676744 1355300    0    0    84   392 2295 2664 70 13 16  0  0
 5  0      0 136244 676744 1355792    0    0    80   488 2559 2707 73 14 14  0  0
 3  0      0 135740 676748 1356200    0    0    60   600 2239 2463 77 13  9  1  0
 6  0      0 135236 676748 1356512    0    0    24   456 2242 2323 69 16 15  0  0
 3  0      0 135220 676748 1356952    0    0    20   416 2137 2230 77 12 10  0  0
 5  0      0 134464 676748 1357468    0    0    64   548 2380 2917 77 14  9  0  0
 3  0      0 133976 676748 1357980    0    0    28   548 2584 2893 77 13 11  0  0
 3  0      0 133456 676756 1358484    0    0    56   748 2358 2569 75 14 11  0  0
 5  0      0 132448 676756 1358980    0    0     0   512 2373 2907 78 12  9  0  0
 5  0      0 132464 676756 1359452    0    0     0   516 2244 2425 74 14 12  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 131708 676756 1359856    0    0     0   524 2296 2458 76 14 11  0  0
 4  0      0 131188 676756 1360328    0    0     0   424 2589 3423 79 14  7  0  0
 5  0      0 130684 676764 1360788    0    0     0   668 2405 2619 75 13 13  0  0
 4  0      0 129928 676764 1361304    0    0     0   532 2342 2697 77 13 10  0  0
 3  0      0 129424 676764 1361804    0    0    92   532 2312 2893 77 13  9  0  0
 3  0      0 128920 676764 1362280    0    0     0   408 2280 2446 78 13  9  0  0
 8  0      0 128164 676764 1362712    0    0     0   508 2851 3234 73 12 15  0  0
 4  0      0 127660 676768 1363136    0    0     0   568 2913 3949 77 13 10  0  0
 5  0      0 127392 676768 1363572    0    0     0   536 2406 2549 76 12 12  0  0
 4  0      0 120352 676768 1364328    0    0     0   488 2537 3402 82 16  2  0  0
 4  0      0 119596 676768 1364356    0    0     0   364 2270 2625 72 14 14  0  0
 3  0      0 119612 676768 1364920    0    0     0   708 2798 3402 78 14  8  0  0
 3  0      0 119344 676772 1365440    0    0     0   696 2154 2193 77 13 10  0  0
 7  0      0 124904 676772 1365904    0    0     0   480 2234 2641 78 13  9  0  0
 3  0      0 124400 676772 1366420    0    0     0   588 2253 2437 77 13 10  0  0
 6  0      0 123880 676772 1366904    0    0     0   528 2187 2351 78 13  9  0  0
 4  0      0 123644 676772 1367364    0    0     0   488 2532 2994 78 12 10  0  0
 4  0      0 124132 676772 1367812    0    0     0   700 2337 2400 76 12 12  0  0
 5  0      0 123628 676772 1368196    0    0     0   580 2135 2210 77 12 10  0  0
 4  0      0 123140 676772 1368644    0    0     0   436 2245 2456 76 13 11  0  0
 3  0      0 122888 676772 1369076    0    0     0   508 2190 2326 77 13 10  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 122620 676772 1369496    0    0     0   504 2778 3070 77 13 10  0  0
 4  0      0 122132 676772 1369944    0    0     0   704 2120 2050 75 13 11  0  0
