# remote_host=100.121.87.73
# vmstat_interval_seconds=1
# started_local=2026-03-12T15:22:27+08:00
Warning: Permanently added '100.121.87.73' (ED25519) to the list of known hosts.
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
printf：用法： printf [-v var] 格式 [参数]
 1  0      0 409468 675060 1267720    0    0    11     8   82   78  1  1 98  0  0
 0  0      0 407956 675060 1267736    0    0     0     0 2572 4215  9  5 86  0  0
 1  0      0 395104 675264 1277232    0    0  9944    40 2446 3606  4  3 85  8  0
 0  1      0 371384 675500 1288588    0    0 11316     0 2693 3724 17  2 71 10  0
 1  0      0 337332 675508 1298228    0    0  9728     0 1943 2633 15  2 74  9  0
 1  0      0 292476 675508 1300060    0    0  1740     0 1575 2045 22  2 74  2  0
 1  0      0 270552 675508 1301300    0    0  1296     0 1519 1872 22  2 74  2  0
 1  0      0 258708 675508 1301576    0    0   220     0 1389 1703 23  4 73  0  0
 1  0      0 247620 675512 1301616    0    0    40   884 1667 2131 25  1 73  1  0
 0  1      0 231996 675888 1307764    0    0  6644     0 1726 2202 18  1 75  6  0
 0  1      0 209064 675888 1328756    0    0 21064     0 2996 4254  2  3 79 16  0
 0  1      0 195456 676516 1333544    0    0  5244   128 3052 4186 18  2 75  5  0
 0  1      0 181596 676856 1339664    0    0  6544     0 3116 4281 15  3 74  8  0
 4  0      0 153308 676876 1346100    0    0  6440    96 2438 3007 33 19 42  6  0
 4  0      0 143244 676884 1348044    0    0  1428  1344 2493 2994 76 16  7  2  0
 3  0      0 142456 676888 1348544    0    0   160   440 2465 2686 74 12 13  0  0
 4  0      0 141716 676888 1349052    0    0   140   452 2263 2683 72 14 14  0  0
 4  0      0 149848 676728 1348184    0    0    96   528 2355 2565 72 15 12  0  0
 6  0      0 147868 676728 1348608    0    0   128   468 2953 3317 78 12 10  0  0
 4  0      0 147348 676732 1349124    0    0   120   700 2312 2753 74 13 13  0  0
 7  0      0 146356 676732 1349584    0    0    96   520 2360 2657 75 14 10  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 144544 676732 1350084    0    0   136   460 2279 2471 73 13 14  0  0
 7  0      0 143316 676732 1350524    0    0    96   496 2383 2823 72 13 15  0  0
 4  0      0 142984 676732 1350936    0    0   100   412 2507 2816 76 13 11  0  0
 4  0      0 142292 676740 1351360    0    0   100   700 3004 3701 75 14 10  0  0
 4  0      0 141552 676740 1351712    0    0    88   400 3361 4145 74 14 13  0  0
 5  0      0 141048 676740 1352208    0    0    32   496 4677 5146 74 14 13  0  0
 3  0      0 140796 676740 1352704    0    0    64   520 4822 5436 75 14 12  0  0
 4  0      0 140292 676740 1353128    0    0   104   396 4179 5383 76 13 12  0  0
 5  0      0 139552 676744 1353956    0    0    40  2628 4636 5228 71 17 11  1  0
 5  0      0 138796 676744 1354180    0    0    68   536 3878 4417 75 14 12  0  0
 3  0      0 137716 676744 1354848    0    0   228   424 3652 4625 76 14 10  0  0
 4  0      0 137268 676744 1355064    0    0    80   404 2413 2939 70 13 16  0  0
 4  0      0 136228 676744 1355604    0    0    60   448 2461 2614 73 14 14  0  0
 5  0      0 136008 676748 1355996    0    0    56   612 2360 2574 77 13  9  1  0
 4  0      0 135268 676748 1356460    0    0    52   468 2207 2324 71 15 15  0  0
 3  0      0 135032 676748 1356804    0    0    20   392 2231 2278 75 13 12  0  0
 5  0      0 134700 676748 1357232    0    0    32   548 2204 2717 77 14  9  0  0
 4  0      0 134212 676748 1357772    0    0    60   540 2689 3033 77 13 10  0  0
 4  0      0 133456 676756 1358256    0    0    56   716 2297 2481 74 14 12  0  0
 3  0      0 132684 676756 1358816    0    0     0   584 2355 2874 78 13  9  0  0
 4  0      0 132448 676756 1359228    0    0     0   488 2209 2417 75 14 11  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 131708 676756 1359776    0    0     0   528 2414 2600 76 13 11  0  0
 3  0      0 131204 676756 1360160    0    0     0   424 2505 3313 79 14  8  0  0
 4  0      0 130668 676764 1360624    0    0     0   644 2391 2588 74 14 12  0  0
 3  0      0 130292 676764 1361036    0    0     0   556 2385 2715 77 12 11  0  0
 3  1      0 129408 676764 1361628    0    0    92   516 2260 2814 78 14  8  0  0
 4  0      0 129172 676764 1362136    0    0     0   424 2265 2450 78 12 10  0  0
 4  0      0 128432 676764 1362544    0    0     0   420 2876 3300 74 13 13  0  0
 5  0      0 127912 676768 1362956    0    0     0   684 2750 3594 77 13 10  0  0
 4  0      0 127424 676768 1363384    0    0     0   392 2590 2896 72 13 15  0  0
 7  0      0 118544 676768 1363832    0    0     0   500 2392 2996 83 16  1  0  0
 4  0      0 119896 676768 1364740    0    0     0   508 2204 2685 75 14 11  0  0
 3  0      0 119828 676768 1364696    0    0     0   548 2811 3403 77 14  8  0  0
 4  0      0 119360 676772 1365264    0    0     0   804 2274 2368 77 13 11  0  0
 3  0      0 125464 676772 1365740    0    0     0   492 2145 2568 78 12  9  0  0
 8  0      0 124636 676772 1366216    0    0     0   540 2281 2417 76 14 11  0  0
 4  0      0 124148 676772 1366732    0    0     0   536 2172 2320 76 13 11  0  0
 4  0      0 123636 676772 1367216    0    0     0   516 2201 2339 79 12  8  0  0
 5  0      0 124148 676772 1367612    0    0     0   628 2613 3035 75 12 13  0  0
 3  0      0 123896 676772 1368112    0    0     0   556 2220 2302 79 13  8  0  0
 3  0      0 123100 676772 1368480    0    0     0   536 2259 2628 77 12 11  0  0
 6  0      0 122888 676772 1368904    0    0     0   480 2245 2259 76 13 11  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 122888 676772 1369380    0    0     0   496 2077 2046 76 14 10  0  0
 4  0      0 122116 676772 1369824    0    0     0   740 2889 3257 76 13 11  0  0
 3  0      0 121848 676772 1370280    0    0     0   848 2370 2333 76 15 10  0  0
 5  0      0 121360 676772 1370732    0    0     0   512 2378 2623 77 13 11  0  0
 4  0      0 121156 676772 1371168    0    0     0   448 2109 2500 78 12 10  0  0
 5  0      0 120556 676772 1371640    0    0     0   508 2117 2091 75 12 13  0  0
 5  0      0 120132 676772 1372088    0    0     0   588 2749 3187 73 13 14  0  0
 5  0      0 119888 676772 1372668    0    0     0   608 2266 2644 80 12  9  0  0
 5  0      0 119424 676772 1373100    0    0     0   660 2078 2282 80 12  8  0  0
 4  0      0 118856 676772 1373516    0    0     0   404 2169 2138 73 11 15  0  0
 5  0      0 118352 676772 1374016    0    0     0   500 2663 3328 78 11 11  0  0
 5  1      0 117596 676776 1374432    0    0     0   704 2641 3160 74 13 13  0  0
 4  0      0 117344 676780 1375016    0    0     0   572 2230 2487 80 12  8  0  0
 6  0      0 116336 676780 1375476    0    0     0   544 2166 2489 76 14 10  0  0
 5  0      0 116084 676780 1376096    0    0     0   588 2131 2381 79 14  8  0  0
 3  0      0 115408 676780 1376512    0    0     0   508 2459 2859 78 12 10  0  0
 3  3      0 123984 676148 1375256    0    0     8   744 2239 2723 76 13 11  0  0
 6  0      0 123544 676148 1375760    0    0    20   460 2225 2217 71 14 15  0  0
 6  0      0 123040 676148 1376084    0    0    20   352 2116 2207 75 12 13  0  0
 8  0      0 122284 676148 1376556    0    0    12   440 2143 2228 73 13 14  0  0
 3  0      0 121608 676148 1377156    0    0     4   684 2239 2424 81 12  7  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 120536 676148 1377556    0    0     0   332 2757 3085 73 13 14  0  0
 4  0      0 119008 676148 1377992    0    0     0   976 2018 2113 77 13  9  1  0
 3  0      0 117844 676148 1378548    0    0     0   592 2334 2776 79 12  9  0  0
 4  0      0 117512 676148 1378992    0    0     0   504 2141 2357 77 12 11  0  0
 4  0      0 117008 676148 1379428    0    0     0   440 2146 2117 75 13 13  0  0
 3  0      0 121348 675624 1378396    0    0     4   584 2537 3296 78 14  8  0  0
 2  1      0 120512 675628 1378960    0    0    20   792 2294 2483 75 13 12  0  0
 4  0      0 120244 675628 1379364    0    0    16   448 2175 2305 77 12 11  0  0
 3  0      0 118072 675628 1379868    0    0     4   484 2341 2836 71 14 15  0  0
 4  0      0 117332 675628 1380328    0    0     0   488 2129 2130 75 14 12  0  0
 1  0      0 124340 675628 1380520    0    0    88    76 1605 1833 40  5 55  0  0
# stopped_local=2026-03-12T15:24:06+08:00
 0  0      0 292016 675628 1381236    0    0   724   200 3157 4943 15  4 79  2  0
 0  0      0 290244 675632 1381372    0    0   164     0 2294 3682  9  4 87  0  0
 1  0      0 290788 675632 1381464    0    0   168     0 2464 3832  6  3 91  0  0
 0  0      0 290244 675632 1381564    0    0     0     0 1187 1826  2  1 98  0  0
 0  0      0 289260 675632 1381584    0    0    12     0 3148 5092 13  5 83  0  0
 0  0      0 290532 675632 1381576    0    0     0     0 2978 4907  8  4 88  0  0
 0  0      0 289560 675632 1381572    0    0    52   472 2870 4277 10  5 84  1  0
 0  0      0 291104 675632 1381632    0    0     0     0 2713 4375  6  3 91  0  0
 0  0      0 291356 675632 1381632    0    0     0     0  828 1290  0  0 99  0  0
 0  0      0 291096 675632 1381632    0    0     0     0  843 1290  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 291356 675632 1381632    0    0     0     0  926 1404  0  1 99  0  0
 0  0      0 290852 675636 1381632    0    0     0    48 1025 1593  1  0 99  0  0
 0  0      0 291104 675636 1381632    0    0     0     0  837 1286  1  0 99  0  0
 0  0      0 290852 675636 1381632    0    0     0     0  733 1112  0  0 100  0  0
 0  0      0 290852 675636 1381632    0    0     0     0  910 1449  0  0 100  0  0
 0  0      0 291104 675636 1381632    0    0     0     0 1085 1635  1  1 99  0  0
 0  0      0 283468 675636 1381628    0    0     0    84 1393 2051 16  2 83  0  0
 0  0      0 283980 675636 1381632    0    0     0     0  767 1164  0  1 99  0  0
 0  0      0 283972 675636 1381632    0    0     0     0  829 1257  1  1 98  0  0
 0  0      0 284236 675636 1381632    0    0     0     0  739 1130  0  0 100  0  0
 0  0      0 290600 675636 1381632    0    0     0     0  952 1447  0  0 99  0  0
 1  0      0 290852 675636 1381632    0    0     0     0  992 1505  1  0 98  0  0
 0  0      0 291100 675636 1381632    0    0     0    24  731 1161  0  1 100  0  0
 0  0      0 290852 675636 1381632    0    0     0     0  724 1108  0  1 100  0  0
 0  0      0 291844 675636 1381632    0    0     0     0  920 1447  2  0 98  0  0
 0  0      0 291608 675636 1381632    0    0     0     0 1014 1479  0  0 100  0  0
 0  0      0 291856 675636 1381632    0    0     0     0  665 1024  0  0 99  0  0
 0  0      0 291616 675640 1381632    0    0     0    16 1327 2035  1  1 98  0  0
 0  0      0 291856 675640 1381632    0    0     0     0  930 1455  0  0 99  0  0
 0  0      0 291608 675640 1381632    0    0     0     0  722 1096  0  1 100  0  0
 0  0      0 291612 675640 1381632    0    0     0     0 1283 2019  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 291608 675640 1381632    0    0     0     4  768 1173  0  0 100  0  0
 0  0      0 291608 675640 1381632    0    0     0     0  723 1137  0  0 99  0  0
 0  0      0 291600 675640 1381632    0    0     0     0 1061 1674  1  1 98  0  0
 0  0      0 291608 675644 1381628    0    0     0    24  693 1087  0  0 100  0  0
 0  0      0 291608 675644 1381628    0    0     0     0 1035 1572  0  0 99  0  0
 0  0      0 291616 675644 1381628    0    0     0   204 1130 1798  1  1 98  0  0
 0  0      0 291856 675644 1381632    0    0     0     0  793 1214  0  1 100  0  0
 0  0      0 291608 675644 1381632    0    0     0     0  662 1037  0  0 100  0  0
 0  0      0 291616 675644 1381632    0    0     0     0 1045 1603  1  1 98  0  0
 0  0      0 291356 675644 1381632    0    0     0     0  877 1331  0  0 100  0  0
 0  0      0 291356 675644 1381632    0    0     0     0  747 1141  0  0 100  0  0
 0  0      0 291364 675652 1381632    0    0     0   252  980 1546  1  1 98  0  0
 0  0      0 291352 675652 1381632    0    0     0     0  913 1416  0  1 99  0  0
 0  0      0 291356 675652 1381632    0    0     0     0  693 1134  0  0 100  0  0
 0  0      0 291356 675652 1381632    0    0     0     0 1126 1738  2  1 98  0  0
 0  0      0 291356 675652 1381632    0    0     0     0  758 1159  0  1 99  0  0
 0  0      0 291356 675656 1381632    0    0     0    36  640  931  0  0 99  0  0
 0  0      0 291356 675656 1381632    0    0     0     0  766 1205  1  0 99  0  0
 0  0      0 291356 675656 1381632    0    0     0     0  785 1181  0  0 100  0  0
 0  0      0 291604 675656 1381632    0    0     0     0  976 1485  1  1 98  0  0
 0  0      0 291608 675656 1381632    0    0     0     0 1342 2044  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 291608 675656 1381632    0    0     0     0  996 1580  0  0 99  0  0
 0  0      0 291608 675656 1381632    0    0     0     0  942 1413  0  0 99  0  0
 0  0      0 291600 675656 1381636    0    0     0     0  839 1349  1  1 98  0  0
 0  0      0 291608 675656 1381636    0    0     0    24 1179 1732  0  0 99  0  0
 0  0      0 291608 675656 1381636    0    0     0     0  692 1078  0  0 99  0  0
 0  0      0 291856 675656 1381636    0    0     0     0  885 1373  1  1 99  0  0
 0  0      0 291860 675656 1381636    0    0     0     0  809 1250  0  1 99  0  0
 0  0      0 292112 675656 1381636    0    0     0     0  759 1170  0  0 100  0  0
 0  0      0 292104 675656 1381636    0    0     0     0 1049 1627  1  1 98  0  0
 0  0      0 292364 675656 1381636    0    0     0     0  704 1064  0  1 100  0  0
 0  0      0 292112 675656 1381632    0    0     0     0  880 1404  0  1 99  0  0
 0  0      0 292356 675656 1381632    0    0     0     0  848 1315  1  1 98  0  0
 0  0      0 292352 675656 1381632    0    0     0     0  646  996  0  0 100  0  0
 0  0      0 292364 675660 1381632    0    0     0    16 1165 1749  0  0 99  0  0
 0  0      0 292360 675660 1381632    0    0     0     0  792 1284  1  1 98  0  0
 0  0      0 292364 675660 1381632    0    0     0     0  736 1116  0  1 100  0  0
 1  0      0 292612 675660 1381632    0    0     0     0  833 1318  0  0 99  0  0
 0  0      0 292364 675660 1381632    0    0     0     0  843 1279  1  1 98  0  0
 0  0      0 292616 675660 1381632    0    0     0     0  973 1445  0  1 99  0  0
 2  0      0 292112 675660 1381632    0    0     0     0  919 1397  1  1 99  0  0
 0  0      0 292364 675660 1381632    0    0     0     0 1075 1673  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 292112 675660 1381632    0    0     0     0 1049 1655  0  0 100  0  0
 0  0      0 292364 675660 1381632    0    0     0     0  720 1122  0  0 99  0  0
 0  0      0 292112 675660 1381632    0    0     0    24 1421 2146  2  0 98  0  0
 0  0      0 282216 675660 1381568    0    0     0     0 1351 1897 18  2 80  0  0
 0  0      0 282472 675660 1381632    0    0     0   192  793 1170  0  1 100  0  0
 0  0      0 282228 675660 1381632    0    0     0     0  889 1406  1  1 98  0  0
