# host=Phytium-Pi
# captured_at=2026-03-30T15:19:36+08:00
top - 15:19:36 up 11 days, 21:19,  1 user,  load average: 0.80, 0.50, 0.19
任务: 229 total,   1 running, 228 sleeping,   0 stopped,   0 zombie
%Cpu(s):  1.4 us,  2.8 sy,  0.0 ni, 95.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   3461.3 total,    255.4 free,   1811.8 used,   1394.1 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   1352.5 avail Mem 

 进程号 USER      PR  NI    VIRT    RES    SHR    %CPU  %MEM     TIME+ COMMAND
2285039 user      20   0   16444   3312   2688 R  11.8   0.1   0:00.05 top
      1 root      20   0  169072   9840   6156 S   0.0   0.3   0:59.23 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.83 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq
      9 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tasks_kthre
     10 root      20   0       0      0      0 S   0.0   0.0   0:15.18 ksoftirqd/0
     11 root      20   0       0      0      0 I   0.0   0.0   1:07.43 rcu_preempt
     12 root      rt   0       0      0      0 S   0.0   0.0   0:03.57 migration/0
     13 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     14 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     15 root      rt   0       0      0      0 S   0.0   0.0   0:04.01 migration/1
     16 root      20   0       0      0      0 S   0.0   0.0   0:05.85 ksoftirqd/1
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     20 root      rt   0       0      0      0 S   0.0   0.0   0:00.25 migration/2
     21 root      20   0       0      0      0 S   0.0   0.0   4:17.52 ksoftirqd/2
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     25 root      rt   0       0      0      0 S   0.0   0.0   0:00.24 migration/3
     26 root      20   0       0      0      0 S   0.0   0.0   0:05.01 ksoftirqd/3
     29 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmpfs
     30 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
     31 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     34 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_reaper
     35 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeback
     36 root      20   0       0      0      0 S   0.0   0.0   0:13.02 kcompactd0
     37 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     38 root      39  19       0      0      0 S   0.0   0.0   0:26.28 khugepaged
     49 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cryptd
     76 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegrityd
     77 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
     78 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 blkcg_punt_bio
     79 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 tpm_dev_wq
     80 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
     81 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-poller
     82 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 devfreq_wq
     83 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdogd
     86 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rpciod
     88 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 xprtiod
    116 root      20   0       0      0      0 S   0.0   0.0   0:29.33 kswapd0
    117 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nfsiod
    121 root      20   0       0      0      0 S   0.0   0.0   0:00.12 hwrng
    122 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/15-arm-smmu
    123 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-crtc0
    124 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-wq
    125 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-reset-wq
    126 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-delete-wq
    127 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme_fc_wq
    128 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme_tcp_wq
    129 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvmet-buffered-
    130 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvmet_tcp_wq
    131 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_0
    132 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_0
    133 root      20   0       0      0      0 S   0.0   0.0   0:00.00 spi0
    139 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 vfio-irqfd-clea
    145 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mmc_complete
    147 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/117-es8336_
