# remote_host=100.121.87.73
# vmstat_interval_seconds=1
# started_local=2026-03-30T15:17:30+08:00
# started_remote=2026-03-30T15:17:30+08:00
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 229120 531696 924748    0    0     2     6    3    2  2  1 98  0  0
 0  0      0 230124 531696 924748    0    0     0    32 1452 2267  0  1 99  0  0
 1  0      0 211952 531700 925460    0    0   660   140 2501 3635 18  3 78  1  0
 1  0      0 171632 531700 926864    0    0  1404     0 1022 1245 22  3 75  1  0
 1  0      0 136856 531700 926864    0    0     0     0 1150 1529 24  3 74  0  0
 1  0      0 118208 531700 926864    0    0     0     0 1061 1325 24  2 75  0  0
 1  0      0 111152 531700 926864    0    0     0    72 1420 1780 24  2 74  0  0
 2  0      0  97796 531700 926864    0    0     0     0  979 1125 25  1 74  0  0
 1  0      0  92876 530628 919392    0    0     0     0 1518 2029 24  4 73  0  0
 0  1      0  93300 529464 914736    0    0  2792     0 1315 1746 21  3 74  3  0
 3  0      0 101436 525804 892204    0    0  4260     0 2653 3587 34 29 34  4  0
 3  0      0 101436 525808 892680    0    0   144     0 1822 2151 41 10 49  0  0
 3  0      0  99924 525812 893296    0    0   148  1080 1632 1874 39 12 49  0  0
 3  0      0  98664 525812 893952    0    0   180   132 3737 4049 39 12 49  0  0
 2  0      0  97908 525816 894488    0    0   144   244 4156 4572 40 12 49  0  0
 2  0      0  97152 525816 894948    0    0   144     0 3298 3525 39 12 49  0  0
 2  0      0  96648 525816 895552    0    0   144     0 3000 3252 38 13 49  0  0
 2  0      0  97880 525816 896216    0    0   180     0 3196 3472 40 11 49  0  0
 3  0      0  97120 525820 896696    0    0   144     0 3742 4255 43 12 45  0  0
 2  0      0  95388 525820 897216    0    0   144    68 1456 1473 41 11 47  0  0
 2  0      0  94884 525820 897792    0    0   144     0 1367 1438 39 12 49  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 2  0      0  94632 525820 898320    0    0   144     0 1465 1553 38 13 49  0  0
 2  0      0  95364 525824 898968    0    0   180     0 1308 1270 40 11 49  0  0
 2  0      0  93496 525824 899544    0    0   144     0 1211 1162 40 11 49  0  0
 2  0      0  94872 525824 896484    0    0   180    52 1121 1034 40 11 49  0  0
 2  0      0  93864 525828 896984    0    0   144     0 1131 1028 40 11 49  0  0
 2  0      0  93360 525828 897544    0    0   144     0 1219 1248 38 13 49  0  0
 1  1      0  93012 525828 898076    0    0   160  6652 1443 1330 39 12 47  2  0
 2  0      0  94624 525828 898560    0    0   128     0 1317 1471 30 11 52  6  0
 2  0      0  97904 525820 894780    0    0   144    68 1249 1195 39 12 49  0  0
 2  0      0  95932 525824 895336    0    0   144     0 1124 1055 39 11 50  0  0
 2  0      0  94892 525824 896004    0    0   180     0 1255 1147 39 11 49  0  0
 2  0      0  94640 525824 896556    0    0   144     0 1146  996 40 11 49  0  0
 2  0      0  95372 525828 897224    0    0   180     0 1289 1184 40 11 49  0  0
 2  0      0  95116 525832 897748    0    0   144     0 1987 2232 39 12 49  0  0
 2  0      0  94864 525832 898216    0    0   144    72 1176  993 39 11 49  0  0
 2  0      0  95740 525508 895280    0    0   144     0 1278 1366 39 13 49  0  0
 2  0      0  96460 525512 895960    0    0   180     0 1100  951 39 11 50  0  0
 2  0      0  95964 525512 896428    0    0   144     0 1028  881 40 11 50  0  0
 2  0      0  93976 525512 897020    0    0   144     0 1554 1678 38 13 49  0  0
 2  0      0  93220 525512 897692    0    0   180    60 1087  994 40 11 50  0  0
 2  0      0  92716 525516 898228    0    0   144     0 1205 1159 40 11 49  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 2  0      0  96232 525128 895924    0    0   180     0 1119 1062 40 11 49  0  0
 2  0      0  95240 525128 896448    0    0   144     0 1162 1067 40 10 50  0  0
 2  0      0  94496 525132 896988    0    0   144     0 1469 1567 39 12 49  0  0
 5  0      0  92228 525132 897648    0    0   180    60 1149 1063 40 11 49  0  0
 2  0      0  92228 525132 898116    0    0   144     0 1153 1094 40 10 49  0  0
 2  0      0  97940 524940 893812    0    0   180     0 1143 1019 39 12 49  0  0
 2  0      0  97188 524944 894348    0    0   144     0 1061  941 40 10 49  0  0
 2  0      0  95704 524944 894904    0    0   144     0 1515 1611 39 12 49  0  0
 2  0      0  95452 524944 895580    0    0   180    56  963  742 41 10 49  0  0
 2  0      0  94696 524948 896120    0    0   144     0 1032  790 40 12 48  0  0
 2  0      0  95680 524948 896768    0    0   180     0 1207 1237 40 11 49  0  0
 2  0      0  94312 524740 892108    0    0   144     0 1349 1474 46 12 42  0  0
 2  0      0  92576 524740 892660    0    0   144     0 1348 1379 39 11 49  0  0
